Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
The frequency of a wave is:,Inversely proportional to its wavelength,Inversely proportional to its velocity,Directly proportional to its amplitude,Independent of its speed,A,Physics,Waves,2018
The time period of a simple pendulum is independent of:,Amplitude,Length,Acceleration due to gravity,Mass,D,Physics,Oscillations,2018
The energy stored in a spring is:,Directly proportional to the square of the displacement,Inversely proportional to the displacement,Directly proportional to the velocity,None of the above,A,Physics,Mechanical Properties of Solids,2018
The electric field at the surface of a charged conductor is:,Proportional to the charge,Zero,Inversely proportional to the distance,Perpendicular to the surface,D,Physics,Electrostatics,2018
The capacitance of a capacitor is:,Directly proportional to the charge,Directly proportional to the potential difference,Inversely proportional to the distance between the plates,Inversely proportional to the area of the plates,C,Physics,Electrostatics,2018
The force acting on a charged particle moving in a magnetic field is zero when:,The particle is at rest,The magnetic field is zero,The velocity of the particle is parallel to the magnetic field,All of the above,C,Physics,Magnetism,2018
The energy of a photon is proportional to its:,Wavelength,Amplitude,Frequency,None of the above,C,Physics,Modern Physics,2018
The motion of a mass-spring system is an example of:,Simple harmonic motion,Rotational motion,Uniform circular motion,Projectile motion,A,Physics,Oscillations,2018
The magnetic field produced by a current-carrying conductor is:,Proportional to the current,Proportional to the square of the current,Inversely proportional to the distance,All of the above,A,Physics,Magnetism,2018
The magnetic field inside a long solenoid is:,Uniform and parallel,Uniform and perpendicular,Non-uniform,Zero,A,Physics,Magnetism,2018
The total mechanical energy of a simple harmonic oscillator is:,Directly proportional to the amplitude,Inversely proportional to the amplitude,Constant,None of the above,C,Physics,Oscillations,2018
The speed of light in a medium is:,Directly proportional to the refractive index,Inversely proportional to the refractive index,Equal to the refractive index,None of the above,B,Physics,Ray Optics,2018
The capacitance of a parallel plate capacitor depends on:,Dielectric constant,Area of the plates,Distance between the plates,All of the above,D,Physics,Electrostatics,2018
The electric potential at a point in an electric field is:,Proportional to the charge,Inversely proportional to the distance,Independent of the distance,Inversely proportional to the square of the distance,D,Physics,Electrostatics,2018
The minimum value of the angular frequency of a simple pendulum is:,Zero,Maximum,When the amplitude is maximum,None of the above,A,Physics,Oscillations,2018
The intensity of sound is directly proportional to:,Amplitude,Square of the amplitude,Frequency,None of the above,B,Physics,Waves,2018
"In a Young's double-slit experiment, the fringe width is:",Directly proportional to the distance between the slits,Inversely proportional to the wavelength,Inversely proportional to the distance between the screen,All of the above,D,Physics,Wave Optics,2018
The wavelength of light is inversely proportional to its:,Frequency,Amplitude,Energy,None of the above,A,Physics,Waves,2018
The total magnetic flux through a closed surface is:,Zero,Maximum,Proportional to the current,Inversely proportional to the distance,A,Physics,Magnetism,2018
The resistance of a conductor depends on:,Length,Area of cross-section,Material,All of the above,D,Physics,Current Electricity,2018
"In a moving coil galvanometer, the deflection is directly proportional to the:",Current,Voltage,Resistance,None of the above,A,Physics,Current Electricity,2018
The electric field at the center of a uniformly charged spherical shell is:,Zero,Maximum,Inversely proportional to the square of the radius,Equal to the electric field at the surface,A,Physics,Electrostatics,2018
The magnetic field inside a solenoid is:,Uniform,Maximum at the ends,Inversely proportional to the current,None of the above,A,Physics,Magnetism,2018
The frequency of oscillation of a mass attached to a spring depends on:,Mass,Spring constant,Both A and B,None of the above,C,Physics,Oscillations,2018
The force between two charges is inversely proportional to the square of the distance between them. This is known as:,Coulomb's law,Gauss's law,Ampere's law,Faraday's law,A,Physics,Electrostatics,2018
The time period of a simple pendulum is independent of:,Mass,Amplitude,Length,None of the above,A,Physics,Oscillations,2018
The current flowing through a conductor is directly proportional to the:,Potential difference,Resistance,Length,None of the above,A,Physics,Current Electricity,2018
The SI unit of frequency is:,Hertz,Tesla,Newton,Joule,A,Physics,Waves,2018
"In a diffraction grating, the angle of diffraction is:",Directly proportional to the wavelength,Inversely proportional to the wavelength,Independent of the wavelength,None of the above,A,Physics,Wave Optics,2018
The unit of electric charge is:,Coulomb,Ampere,Volt,Ohm,A,Physics,Electrostatics,2018
"In a magnetic field, the force on a moving charged particle is maximum when:",The velocity of the particle is parallel to the field,The velocity of the particle is perpendicular to the field,The particle is at rest,None of the above,B,Physics,Magnetism,2018
"In the case of a convex lens, the focal length is:",Positive,Negative,Zero,None of the above,A,Physics,Ray Optics,2018
The potential difference between two points in an electric field is:,Proportional to the distance between them,Independent of the distance between them,Inversely proportional to the distance between them,None of the above,A,Physics,Electrostatics,2018
The phase difference between current and voltage in a purely capacitive circuit is:,Zero,90°,180°,None of the above,B,Physics,Alternating Current,2018
The capacitance of a parallel plate capacitor is:,Directly proportional to the distance between the plates,Inversely proportional to the distance between the plates,Inversely proportional to the area of the plates,Directly proportional to the voltage,B,Physics,Electrostatics,2018
"In a series LCR circuit, resonance occurs when the inductive reactance is:",Equal to capacitive reactance,Greater than capacitive reactance,Less than capacitive reactance,None of the above,A,Physics,Alternating Current,2018
