Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Which of the following is an example of a non-metal?,Oxygen,Sodium,Magnesium,Iron,A,Chemistry,Periodic Table,2019
Which of the following is a colligative property?,Boiling point elevation,Freezing point depression,Vapour pressure lowering,All of the above,D,Chemistry,Colligative Properties,2019
Which of the following is an example of a redox reaction?,2Na + Cl₂ → 2NaCl,H₂ + Cl₂ → 2HCl,C + O₂ → CO₂,All of the above,D,Chemistry,Redox Reactions,2019
Which of the following compounds will give a positive test with Fehling’s solution?,Glucose,Fructose,Sucrose,Maltose,A,Chemistry,Organic Chemistry,2019
Which of the following has the highest electronegativity?,Fluorine,Oxygen,Nitrogen,Chlorine,A,Chemistry,Periodic Table,2019
The hybridization of the central atom in SF₆ is:,sp³d²,sp²,sp³,sp,A,Chemistry,Chemical Bonding,2019
The molar mass of one mole of a gas is given by:,Density × Volume,Density × Gas constant,Pressure × Volume,Pressure × Volume / Gas constant,A,Chemistry,Gaseous State,2019
Which of the following is the strongest base?,NaOH,KOH,NH₃,Ca(OH)₂,A,Chemistry,Acids and Bases,2019
Which of the following is the weakest acid?,HCl,H₂SO₄,HF,CH₃COOH,D,Chemistry,Acids and Bases,2019
The most stable oxidation state of iron is:,Fe³⁺,Fe²⁺,Fe⁰,Fe⁴⁺,B,Chemistry,Inorganic Chemistry,2019
"In the periodic table, the atomic radius of elements generally:",Increases across a period,Decreases across a period,Increases down a group,Decreases down a group,C,Chemistry,Periodic Table,2019
The hybridization of the central atom in methane is:,sp,sp²,sp³,sp³d,C,Chemistry,Chemical Bonding,2019
The number of moles of NaCl required to prepare 500 mL of 0.5 M NaCl solution is:,0.25 moles,0.5 moles,1 mole,2 moles,A,Chemistry,Solutions,2019
The number of moles of NaOH present in 40g of NaOH is:,1 mole,2 moles,0.5 moles,0.25 moles,A,Chemistry,Stoichiometry,2019
The electron configuration of an atom with atomic number 17 is:,1s² 2s² 2p⁶ 3s² 3p⁵,1s² 2s² 2p⁶ 3s² 3p⁶,1s² 2s² 2p⁶ 3s² 3p²,1s² 2s² 2p⁶ 3s² 3p⁴,A,Chemistry,Atomic Structure,2019
Which of the following compounds has the highest boiling point?,Methane,Ethanol,Water,Acetone,C,Chemistry,General Organic Chemistry,2019
The molecular formula of the compound CH₃COOH is:,Acetic acid,Formic acid,Butyric acid,Lactic acid,A,Chemistry,Organic Chemistry,2019
Which of the following gases is most likely to exhibit ideal behavior?,CO₂,H₂,O₂,NH₃,B,Chemistry,Gaseous State,2019
Which of the following is an aromatic compound?,C₆H₆,C₄H₁₀,C₄H₈,C₆H₁₂,A,Chemistry,Organic Chemistry,2019
The chemical formula of potassium dichromate is:,K₂Cr₂O₇,KCrO₄,Cr₂O₃,K₂O,A,Chemistry,Inorganic Chemistry,2019
Which of the following compounds is a buffer solution?,NaCl,NaOH,CH₃COOH + CH₃COONa,HCl,C,Chemistry,Solutions,2019
Which of the following reactions is an example of a combination reaction?,2H₂ + O₂ → 2H₂O,H₂ + Cl₂ → 2HCl,C + O₂ → CO₂,NaCl + AgNO₃ → NaNO₃ + AgCl,A,Chemistry,Chemical Reactions,2019
The IUPAC name of CH₃CH₂OH is:,Ethyl alcohol,Ethanol,Methanol,Dimethyl alcohol,B,Chemistry,Organic Chemistry,2019
The reaction between a metal and an acid is an example of a:,Displacement reaction,Redox reaction,Combination reaction,Decomposition reaction,B,Chemistry,Chemical Reactions,2019
The molar volume of a gas at STP is:,22.4 L,24.8 L,12.2 L,1.0 L,A,Chemistry,Gaseous State,2019
Which of the following compounds is a Lewis acid?,BF₃,NH₃,H₂O,NaCl,A,Chemistry,Chemical Bonding,2019
Which of the following statements about acids is incorrect?,Acids donate protons,Acids have a pH less than 7,Acids are electron acceptors,Acids release H⁺ ions in water,C,Chemistry,Acids and Bases,2019
The molecular formula of the compound whose empirical formula is C₂H₅ and whose molar mass is 58 g/mol is:,C₄H₁₀,C₆H₁₅,C₄H₈,C₆H₁₂,A,Chemistry,Organic Chemistry,2019
Which of the following is a characteristic of the noble gases?,They are highly reactive,They have low ionization energy,They have high ionization energy,They are non-metals,C,Chemistry,General Chemistry,2019
The standard electrode potential of zinc is:,-0.76 V,-0.34 V,0.34 V,0.76 V,A,Chemistry,Electrochemistry,2019
Which of the following is the most stable isotope of hydrogen?,Protium,Deuterium,Tritium,None of the above,A,Chemistry,Atomic Structure,2019
Which of the following has the lowest boiling point?,Methanol,Water,Acetone,Ethanol,C,Chemistry,General Organic Chemistry,2019
Which of the following is a weak electrolyte?,HCl,NaOH,CH₃COOH,NaCl,C,Chemistry,Electrochemistry,2019
The chemical formula of sodium carbonate is:,Na₂CO₃,NaHCO₃,Na₂CO₃·10H₂O,NaCl,A,Chemistry,Inorganic Chemistry,2019
The heat absorbed or released during a chemical reaction at constant pressure is:,Enthalpy,Entropy,Free energy,Internal energy,A,Chemistry,Thermodynamics,2019
Which of the following is not an example of a redox reaction?,2Na + Cl₂ → 2NaCl,H₂ + Cl₂ → 2HCl,C + O₂ → CO₂,NaCl + AgNO₃ → NaNO₃ + AgCl,D,Chemistry,Redox Reactions,2019
