Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
The potential energy of a system is:,The energy due to its motion,The energy stored in a system due to its position,The energy dissipated by a system,None of the above,B,Physics,"Work, Energy and Power",2016
The force between two point charges is:,Inversely proportional to the distance between them,Directly proportional to the distance between them,Inversely proportional to the square of the distance,None of the above,C,Physics,Electrostatics,2016
The resistance of a wire is:,Inversely proportional to its length,Directly proportional to its length,Independent of its length,None of the above,B,Physics,Current Electricity,2016
The total current in a parallel circuit is:,The sum of the currents in each branch,The difference of the currents in each branch,Equal to the current in each branch,None of the above,A,Physics,Current Electricity,2016
The energy stored in a capacitor is:,½ QV,½ CV²,Q²/2C,All of the above,D,Physics,Electrostatics,2016
"In a standing wave, the displacement at a node is:",Maximum,Zero,Minimum,None of the above,B,Physics,Waves,2016
The resistance of a conductor depends on:,Length,Material,Temperature,All of the above,D,Physics,Current Electricity,2016
The wavelength of light is:,Inversely proportional to the frequency,Directly proportional to the frequency,Independent of the frequency,None of the above,A,Physics,Waves,2016
The motion of a body in a circular orbit around the Earth is governed by:,Newton's law of motion,Kepler's law,Gravitational force,All of the above,C,Physics,Gravitation,2016
The potential energy of a body in a gravitational field is:,Inversely proportional to the distance,Directly proportional to the distance,Independent of the distance,None of the above,B,Physics,Gravitation,2016
The energy possessed by a body due to its motion is called:,Potential energy,Kinetic energy,Mechanical energy,All of the above,B,Physics,"Work, Energy and Power",2016
The time period of a simple pendulum is independent of:,Mass,Amplitude,Length of the string,Acceleration due to gravity,A,Physics,Oscillations,2016
The value of acceleration due to gravity is maximum at:,The poles,The equator,Both poles and equator,None of the above,A,Physics,Gravitation,2016
The force between two charges is inversely proportional to:,The square of the distance between them,The square of the charges,The distance between them,None of the above,A,Physics,Electrostatics,2016
"In a Young's double slit experiment, the fringe width is given by:",λ/D,λd,d/λ,λd/D,D,Physics,Wave Optics,2016
The frequency of a wave is:,Inversely proportional to the wavelength,Directly proportional to the wavelength,Independent of the wavelength,None of the above,A,Physics,Waves,2016
"In a capacitor, the energy stored is:",Inversely proportional to the square of the charge,Directly proportional to the square of the charge,Directly proportional to the voltage,None of the above,B,Physics,Electrostatics,2016
"In an electromagnetic wave, the electric and magnetic fields are:",Parallel to each other,Perpendicular to each other,Parallel to the direction of propagation,None of the above,B,Physics,Electromagnetic Waves,2016
The resistance of a conductor is:,Directly proportional to its length,Inversely proportional to its cross-sectional area,Both of the above,None of the above,C,Physics,Current Electricity,2016
Which of the following is a unit of electric charge?,Ampere,Coulomb,Volt,Ohm,B,Physics,Electrostatics,2016
The refractive index of a medium is the ratio of:,Speed of light in vacuum to the speed of light in the medium,Speed of light in the medium to the speed of light in vacuum,Wavelength of light in vacuum to the wavelength of light in the medium,None of the above,A,Physics,Optics,2016
The electric potential at a point is defined as:,Work done per unit charge in bringing a positive test charge from infinity to that point,Force per unit charge,Energy stored in a capacitor,None of the above,A,Physics,Electrostatics,2016
"A parallel plate capacitor has a capacitance C. If the distance between the plates is halved, the capacitance will be:",Doubled,Halved,Remain the same,Quadrupled,A,Physics,Electrostatics,2016
The magnetic force between two long parallel current-carrying conductors is:,Directly proportional to the current,Inversely proportional to the current,Directly proportional to the square of the current,None of the above,A,Physics,Magnetism,2016
The capacitance of a parallel plate capacitor depends on:,Area of the plates,Distance between the plates,Dielectric constant,All of the above,D,Physics,Electrostatics,2016
The energy stored in a capacitor is:,½ CV²,C²V,CV,½ QV,A,Physics,Electrostatics,2016
The magnetic force acting on a moving charged particle is maximum when the particle moves:,Parallel to the magnetic field,Perpendicular to the magnetic field,At 45° to the magnetic field,None of the above,B,Physics,Magnetism,2016
The energy required to move a charge of 2 C through a potential difference of 10 V is:,20 J,200 J,2 J,0.2 J,A,Physics,Electrostatics,2016
The magnetic field at the center of a circular loop of current is:,Zero,Maximum,Inversely proportional to the square of the radius,Directly proportional to the radius,B,Physics,Magnetism,2016
A body moving with constant speed in a circle experiences:,Zero acceleration,Centripetal acceleration,Tangential acceleration,Both centripetal and tangential acceleration,B,Physics,Mechanics,2016
The magnetic field lines around a current-carrying wire are:,Straight lines,Circular,Elliptical,Parabolic,B,Physics,Magnetism,2016
The energy of a photon is directly proportional to its:,Wavelength,Frequency,Amplitude,None of the above,B,Physics,Modern Physics,2016
The electric field inside a conductor is:,Zero,Maximum,Equal to the potential,None of the above,A,Physics,Electrostatics,2016
The time period of a simple pendulum is:,Directly proportional to the length,Inversely proportional to the length,Directly proportional to the mass,Inversely proportional to the mass,A,Physics,Oscillations,2016
The direction of magnetic force on a charged particle moving in a magnetic field is given by:,Right-hand thumb rule,Left-hand thumb rule,Ampere's rule,Faraday's law,A,Physics,Magnetism,2016
The frequency of a sound wave is:,Inversely proportional to its wavelength,Inversely proportional to its amplitude,Directly proportional to its velocity,None of the above,A,Physics,Waves,2016
