"Which of the following is NOT a micronutrient for plants?","Zinc","Boron","Magnesium","Molybdenum",C,Botany,Plant Nutrition,2019
"Double fertilization is unique to:","Gymnosperms","Angiosperms","Pteridophytes","Bryophytes",B,Botany,Plant Reproduction,2019
"Which plant hormone promotes cell elongation?","Auxin","Cytokinin","Abscisic acid","Ethylene",A,Botany,Plant Physiology,2019
"The site of photosynthesis in cyanobacteria is:","Chloroplast","Chromatoplasm","Mesosome","Nucleoid",B,Botany,Photosynthesis,2019
"Which of the following is a parasitic plant?","Cuscuta","Mango","Rose","Wheat",A,Botany,Plant Kingdom,2019
"Vascular bundles in monocot stems are:","Closed and scattered","Open and arranged in a ring","Radial","Concentric",A,Botany,Plant Anatomy,2019
"Which of the following is a symbiotic nitrogen fixer?","Rhizobium","Azotobacter","Clostridium","Nostoc",A,Botany,Microbes in Agriculture,2019
"Haplontic life cycle is observed in:","Bryophytes","Pteridophytes","Gymnosperms","Chlamydomonas",D,Botany,Plant Life Cycles,2019
"Which tissue provides mechanical support to young stems?","Parenchyma","Collenchyma","Sclerenchyma","Xylem",B,Botany,Plant Anatomy,2019
"The first product of CO₂ fixation in C4 plants is:","PGA","OAA","RuBP","Malate",B,Botany,Photosynthesis,2019
"Which of the following is NOT a part of a seed?","Cotyledon","Endosperm","Plumule","Operculum",D,Botany,Morphology of Flowering Plants,2019
"Which plant is commonly used in genetic studies?","Pisum sativum","Oryza sativa","Triticum aestivum","Zea mays",A,Botany,Genetics,2019
"Water movement in plants is primarily driven by:","Osmosis","Transpiration pull","Capillary action","Root pressure",B,Botany,Plant Physiology,2019
"Which of the following is a non-vascular plant?","Fern","Moss","Pine","Sunflower",B,Botany,Plant Kingdom,2019
"The fruit develops from the:","Ovary","Stigma","Style","Anther",A,Botany,Plant Reproduction,2019
"Which pigment is responsible for red color in tomatoes?","Chlorophyll","Carotene","Xanthophyll","Lycopene",D,Botany,Plant Pigments,2019
"Which of the following is a CAM plant?","Cactus","Corn","Wheat","Rice",A,Botany,Photosynthesis,2019
"Which plant disease is caused by a fungus?","Citrus canker","Tobacco mosaic","Late blight of potato","Aster yellows",C,Botany,Plant Pathology,2019
"Which of the following is a synthetic auxin?","IAA","NAA","GA3","ABA",B,Botany,Plant Growth Regulators,2019
"Wind-pollinated flowers typically have:","Bright petals","Scented flowers","Large sticky pollen","Light and non-sticky pollen",D,Botany,Pollination,2019
"Which of the following is a storage root?","Carrot","Potato","Ginger","Onion",A,Botany,Morphology of Plants,2019
"Which of the following is NOT a function of roots?","Anchorage","Photosynthesis","Absorption","Storage",B,Botany,Plant Morphology,2019
"Xerophytic adaptations include:","Thick cuticle","Broad leaves","High stomatal density","Succulent stem",A,Botany,Ecology,2019
"Which plant is used for biofuel production?","Jatropha","Neem","Tulsi","Bamboo",A,Botany,Applied Botany,2019
"Which part of the flower forms the fruit?","Ovary","Stigma","Style","Anther",A,Botany,Plant Reproduction,2019
"Asexual reproduction in plants occurs via:","Fragmentation","Pollination","Fertilization","Seed dispersal",A,Botany,Plant Reproduction,2019
"Mycorrhiza is a symbiotic association between fungi and:","Roots","Leaves","Stems","Flowers",A,Botany,Plant-Microbe Interactions,2019
"Which of the following is a C3 plant?","Wheat","Sugarcane","Maize","Sorghum",A,Botany,Photosynthesis,2019
"Gibberellins do NOT:","Promote stem elongation","Induce seed germination","Cause fruit ripening","Break dormancy",C,Botany,Plant Hormones,2019
"Monocot stems have:","Vascular bundles in a ring","Secondary growth","Scattered vascular bundles","Cambium present",C,Botany,Plant Anatomy,2019
"A natural insecticide from plants is:","Nicotine","Aspirin","Penicillin","Streptomycin",A,Botany,Plant Secondary Metabolites,2019
"Which is part of the shoot system?","Root cap","Stem","Root hairs","Root nodules",B,Botany,Plant Morphology,2019
"Wind-dispersed seeds are seen in:","Coconut","Maple","Pea","Apple",B,Botany,Seed Dispersal,2019
"Which is NOT an inflorescence type?","Raceme","Umbel","Tendril","Spike",C,Botany,Flower Morphology,2019
"An example of a carnivorous plant is:","Venus flytrap","Sunflower","Rose","Wheat",A,Botany,Plant Adaptations,2019
"Abscisic acid (ABA) functions in:","Promoting cell division","Inducing seed dormancy","Stimulating flowering","Enhancing fruit ripening",B,Botany,Plant Hormones,2019
"Which of the following is a bryophyte?","Fern","Moss","Pine","Sunflower",B,Botany,Plant Kingdom,2019
"Which plant group lacks true roots, stems, and leaves?","Bryophytes","Pteridophytes","Gymnosperms","Angiosperms",A,Botany,Plant Kingdom,2019
"The male gametophyte in angiosperms is:","Pollen grain","Embryo sac","Ovule","Anther",A,Botany,Plant Reproduction,2019
"Which pigment is essential for photosynthesis?","Chlorophyll","Carotene","Xanthophyll","Anthocyanin",A,Botany,Photosynthesis,2019
