Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Which of the following is an example of an exothermic reaction?,2H₂ + O₂ → 2H₂O,N₂ + 3H₂ → 2NH₃,C + O₂ → CO₂,All of the above,D,Chemistry,Thermodynamics,2018
Which of the following compounds is an example of a Lewis base?,NH₃,BF₃,H₂O,CO₂,A,Chemistry,Chemical Bonding,2018
The rate of a chemical reaction is most affected by:,Concentration of reactants,Volume of reactants,Temperature of reactants,All of the above,D,Chemistry,Chemical Kinetics,2018
Which of the following is a buffer solution?,CH₃COOH + CH₃COONa,NaCl,NaOH,HCl,A,Chemistry,Solutions,2018
Which of the following is a property of the transition metals?,They have low melting points,They form only one type of ion,They have high ionization energies,They show variable oxidation states,D,Chemistry,Periodic Table,2018
Which of the following is the weakest acid?,CH₃COOH,HCl,HF,H₂SO₄,A,Chemistry,Acids and Bases,2018
The molar volume of an ideal gas at STP is:,22.4 L,24.8 L,12.2 L,1.0 L,A,Chemistry,Gaseous State,2018
Which of the following is the strongest acid?,HCl,H₂SO₄,HNO₃,HF,B,Chemistry,Acids and Bases,2018
The heat absorbed or released during a chemical reaction at constant pressure is:,Enthalpy,Entropy,Free energy,Internal energy,A,Chemistry,Thermodynamics,2018
Which of the following is a common property of all metals?,High electrical conductivity,High ionization energy,Low melting points,Non-lustrous appearance,A,Chemistry,General Chemistry,2018
Which of the following statements about acids is incorrect?,Acids have a pH less than 7,Acids donate protons,Acids are electron acceptors,Acids release H⁺ ions in water,C,Chemistry,Acids and Bases,2018
The empirical formula of a compound with the molecular formula C₆H₁₂O₆ is:,CH₂O,C₆H₁₂O₆,C₃H₆O₃,C₆H₁₀O₅,A,Chemistry,Stoichiometry,2018
Which of the following is a characteristic of noble gases?,They have low ionization energies,They are highly reactive,They have high boiling points,They are chemically inert,D,Chemistry,General Chemistry,2018
Which of the following is not an example of a redox reaction?,C + O₂ → CO₂,NaCl + AgNO₃ → NaNO₃ + AgCl,H₂ + Cl₂ → 2HCl,2Na + Cl₂ → 2NaCl,B,Chemistry,Redox Reactions,2018
The first ionization enthalpy of sodium is:,496 kJ/mol,150 kJ/mol,900 kJ/mol,2500 kJ/mol,A,Chemistry,Periodic Table,2018
The hybridization of the central atom in methane (CH₄) is:,sp,sp²,sp³,sp³d,C,Chemistry,Chemical Bonding,2018
Which of the following is the most stable oxidation state of chlorine?,Cl⁻,Cl²⁺,Cl³⁺,Cl⁶⁺,A,Chemistry,Inorganic Chemistry,2018
"The molecular formula of an organic compound containing 2 carbon atoms, 4 hydrogen atoms, and 2 oxygen atoms is:",C₂H₄O₂,C₂H₄O,C₆H₆O₂,C₄H₆O₂,A,Chemistry,Organic Chemistry,2018
The IUPAC name of CH₃CH₂OH is:,Ethanol,Ethyl alcohol,Methanol,Dimethyl alcohol,A,Chemistry,Organic Chemistry,2018
Which of the following is a characteristic of alkali metals?,They are highly reactive,They are poor conductors of heat,They have high melting points,They are gases at room temperature,A,Chemistry,Periodic Table,2018
The most stable oxidation state of manganese is:,Mn²⁺,Mn³⁺,Mn⁴⁺,Mn⁰,A,Chemistry,Inorganic Chemistry,2018
Which of the following has the highest boiling point?,Methanol,Water,Acetone,Ethanol,B,Chemistry,Organic Chemistry,2018
Which of the following gases is most likely to exhibit ideal behavior?,CO₂,H₂,O₂,NH₃,B,Chemistry,Gaseous State,2018
The electron configuration of an atom with atomic number 17 is:,1s² 2s² 2p⁶ 3s² 3p⁵,1s² 2s² 2p⁶ 3s² 3p⁶,1s² 2s² 2p⁶ 3s² 3p²,1s² 2s² 2p⁶ 3s² 3p⁴,A,Chemistry,Atomic Structure,2018
The hybridization of the central atom in SO₃ is:,sp,sp²,sp³,sp³d²,B,Chemistry,Chemical Bonding,2018
