Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
"The ionic radii of O²⁻, F⁻, Na⁺, and Mg²⁺ are in the order:",F⁻ > O²⁻ > Na⁺ > Mg²⁺,Mg²⁺ > Na⁺ > F⁻ > O²⁻,O²⁻ > F⁻ > Na⁺ > Mg²⁺,O²⁻ > F⁻ > Mg²⁺ > Na⁺,C,Chemistry,Atomic Structure,2020
The chemical formula of common salt is:,NaCl,KCl,Na₂SO₄,NaNO₃,A,Chemistry,Inorganic Chemistry,2020
Which of the following is a cationic detergent?,Cetyltrimethyl ammonium bromide,Sodium dodecylbenzenesulphonate,Sodium lauryl sulphate,Sodium stearate,A,Chemistry,Surface Chemistry,2020
"On heating, lead(II) nitrate gives a brown gas (A). The gas (A) on cooling changes to a colourless solid/liquid (B). (B) on heating with NO changes to a blue solid (C). The oxidation number of nitrogen in solid (C) is:",+3,+4,+2,+5,A,Chemistry,Inorganic Chemistry,2020
The pH of a neutral solution at 25°C is:,7,6,8,10,A,Chemistry,Acids and Bases,2020
The volume occupied by one mole of an ideal gas at STP is:,22.4 L,11.2 L,22.8 L,23.4 L,A,Chemistry,Gaseous State,2020
The IUPAC name of the following compound is:,3-Bromo-5-methyl cyclopentane carboxylic acid,4-Bromo-2-methyl cyclopentane carboxylic acid,5-Bromo-3-methyl cyclopentanoic acid,3-Bromo-5-methyl cyclopentanoic acid,B,Chemistry,Organic Chemistry,2020
"The solubility product of a salt is defined as the product of the concentrations of its ions at equilibrium, each raised to the power of its coefficient in the dissociation equation. Which of the following salts is an example?",AgCl,NaCl,Na₂SO₄,KNO₃,A,Chemistry,Solutions,2020
The name of the compound having formula Na₂B₄O₇.10H₂O is:,Sodium tetra borate decahydrate,Sodium bicarbonate,Sodium chloride,Sodium borate,A,Chemistry,Inorganic Chemistry,2020
The gas which is most likely to follow ideal gas laws is:,Hydrogen,Carbon dioxide,Oxygen,Nitrogen,A,Chemistry,Gaseous State,2020
The bond dissociation enthalpy of chlorine (Cl₂) is:,243 kJ/mol,435 kJ/mol,118 kJ/mol,495 kJ/mol,A,Chemistry,Chemical Bonding,2020
Identify the incorrect statement:,"Interstitial compounds are formed when small atoms like H, C, or N are trapped inside the crystal lattices of metals.",The oxidation states of chromium in CrO₄²⁻ and Cr₂O₇²⁻ are not the same.,Cr²⁺(d⁴) is a stronger reducing agent than Fe²⁺(d⁶) in water.,Transition metals and their compounds are known for their catalytic activity due to their ability to adopt multiple oxidation states and to form complexes.,B,Chemistry,Inorganic Chemistry,2020
The correct option for free expansion of an ideal gas under adiabatic condition is:,"q < 0, ΔT = 0, w = 0","q > 0, ΔT > 0, w > 0","q = 0, ΔT = 0, w = 0","q = 0, ΔT < 0, w > 0",C,Chemistry,Thermodynamics,2020
Which of the following is a basic amino acid?,Tyrosine,Lysine,Serine,Alanine,B,Chemistry,Biomolecules,2020
The conjugate base of H₂SO₄ is:,HSO₄⁻,SO₄²⁻,H₃O⁺,SO₃,A,Chemistry,Acids and Bases,2020
"On electrolysis of dilute sulphuric acid using platinum electrodes, the product obtained at the anode is:",H₂S gas,SO₂ gas,Hydrogen gas,Oxygen gas,D,Chemistry,Electrochemistry,2020
Identify the incorrect match:,Unnilunium – Mendelvium,Unniltrium – Lawrencium,Unnilhexium – Seaborgium,Unununnium – Darmstadtium,B,Chemistry,Periodic Table,2020
"At 300 K, the vapour pressure of a solution containing 1 mole of n-hexane and 3 moles of n-heptane is 550 mm Hg. If one more mole of n-heptane is added, the vapour pressure increases by 10 mm Hg. What is the vapour pressure of pure n-heptane?",600 mm Hg,550 mm Hg,650 mm Hg,700 mm Hg,A,Chemistry,Solutions,2020
Match the following and identify the correct option:,CO + H₂,Temporary hardness of water,B₂H₆,H₂O₂,3,Chemistry,Inorganic Chemistry,2020
The mixture which shows positive deviation from Raoult’s law is:,Acetone + Chloroform,Chloroethane + Bromoethane,Ethanol + Acetone,Benzene + Toluene,C,Chemistry,Physical Chemistry,2020
