Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
"The correct order of ionization energies for the elements Na, Mg, and Al is:",Na < Mg < Al,Na > Mg > Al,Na < Al < Mg,Mg < Na < Al,A,Chemistry,Periodic Table,2016
Which of the following substances is an example of a covalent network solid?,Diamond,Sodium chloride,Magnesium oxide,Potassium bromide,A,Chemistry,Solid State,2016
Which of the following is the correct IUPAC name for the compound CH₃-CH₂-CH₃?,Propane,Butane,Methane,Ethane,A,Chemistry,Organic Chemistry,2016
Which of the following is a characteristic of alkali metals?,They have low melting points,They are good conductors of heat,They are good insulators,They are highly stable,A,Chemistry,Periodic Table,2016
Which of the following compounds is a good reducing agent?,Zn,O₂,H₂O,Cl₂,A,Chemistry,Redox Reactions,2016
Which of the following is the formula of butene?,C₄H₈,C₄H₁₀,C₄H₁₂,C₄H₆,A,Chemistry,Organic Chemistry,2016
Which of the following is an example of a dipole-dipole interaction?,HCl,NaCl,H₂O,CH₄,A,Chemistry,Intermolecular Forces,2016
Which of the following is an example of a physical change?,Boiling water,Rusting of iron,Burning of wood,Cooking an egg,A,Chemistry,General Chemistry,2016
The oxidation number of sulfur in SO₄²⁻ is:,−2,0,+2,+6,D,Chemistry,Redox Reactions,2016
The boiling point of ethanol (C₂H₅OH) is:,78.4°C,100°C,120°C,65°C,A,Chemistry,Physical Chemistry,2016
Which of the following is the least reactive halogen?,Iodine,Fluorine,Chlorine,Bromine,A,Chemistry,Periodic Table,2016
The pH of a 1M NaOH solution is:,14,7,0,10,A,Chemistry,Acids and Bases,2016
Which of the following is a Lewis acid?,BF₃,NH₃,H₂O,NaCl,A,Chemistry,Chemical Bonding,2016
The solubility of NaCl in water is an example of:,Physical change,Chemical change,Exothermic reaction,Endothermic reaction,A,Chemistry,Solutions,2016
Which of the following is the hybridization of the central atom in CO₂?,sp,sp²,sp³,sp³d,A,Chemistry,Chemical Bonding,2016
The formula of the compound formed between calcium and sulfur is:,CaS,CaSO₄,Ca₂S₃,Ca₃S₂,A,Chemistry,Inorganic Chemistry,2016
Which of the following compounds is an ester?,CH₃COOCH₂CH₃,CH₃COOH,CH₄,CH₃OH,A,Chemistry,Organic Chemistry,2016
Which of the following compounds is a weak acid?,Acetic acid,Hydrochloric acid,Sulfuric acid,Nitric acid,A,Chemistry,Acids and Bases,2016
The boiling point of water is:,100°C,90°C,120°C,80°C,A,Chemistry,General Chemistry,2016
Which of the following statements is true for gases?,They are highly compressible,They have high densities,They are non-compressible,They have fixed volume,A,Chemistry,Gaseous State,2016
Which of the following is true about ionic compounds?,They have high melting and boiling points,They are gases at room temperature,They are non-conductors in the solid state,They are typically malleable,A,Chemistry,Chemical Bonding,2016
Which of the following is the correct formula for sulfuric acid?,H₂SO₄,H₂SO₃,HSO₄,SO₃,A,Chemistry,Inorganic Chemistry,2016
Which of the following gases is used to fill electric bulbs?,Nitrogen,Oxygen,Argon,Hydrogen,C,Chemistry,General Chemistry,2016
Which of the following elements has the highest electronegativity?,Fluorine,Chlorine,Oxygen,Nitrogen,A,Chemistry,Periodic Table,2016
Which of the following is a characteristic of transition elements?,They have variable oxidation states,They form only one oxide,They are soft metals,They are highly reactive,A,Chemistry,Periodic Table,2016
The correct electronic configuration of iron (Fe) is:,1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁶,1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁷,1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁸,1s² 2s² 2p⁶ 3s² 3p⁶ 3d⁶,A,Chemistry,Atomic Structure,2016
Which of the following is the correct formula of methane?,CH₄,C₂H₆,C₄H₁₀,C₆H₁₂,A,Chemistry,Organic Chemistry,2016
The hybridization of the central atom in CH₄ is:,sp³,sp²,sp,sp³d,A,Chemistry,Chemical Bonding,2016
The molecular geometry of NH₃ is:,Trigonal pyramidal,Tetrahedral,Planar,Linear,A,Chemistry,Chemical Bonding,2016
Which of the following compounds is used in the preparation of fertilizers?,Ammonium nitrate,Sodium chloride,Calcium carbonate,Magnesium sulfate,A,Chemistry,Inorganic Chemistry,2016
Which of the following is used as a disinfectant?,Chlorine,Sodium chloride,Water,Hydrogen,A,Chemistry,General Chemistry,2016
The formula of ammonium nitrate is:,NH₄NO₃,NH₃NO₃,NH₄NO₂,NH₃NO₂,A,Chemistry,Inorganic Chemistry,2016
Which of the following is a characteristic of a covalent bond?,Shared pair of electrons,Transfer of electrons,Formation of ions,None of the above,A,Chemistry,Chemical Bonding,2016
Which of the following elements has the highest ionization energy?,Fluorine,Oxygen,Nitrogen,Carbon,A,Chemistry,Periodic Table,2016
Which of the following is the strongest acid?,HCl,H₂SO₄,HNO₃,HF,B,Chemistry,Acids and Bases,2016
Which of the following compounds has the highest boiling point?,Water,Methane,Ammonia,Ethene,A,Chemistry,Physical Chemistry,2016
Which of the following elements has the largest atomic radius?,Na,Mg,K,Ca,C,Chemistry,Periodic Table,2016
The oxidation number of chlorine in NaClO₃ is:,+5,+3,+1,−1,A,Chemistry,Redox Reactions,2016
Which of the following is the correct order of atomic radii?,Li > Be > B > C,C > B > Be > Li,Li < Be < B < C,Li < B < Be < C,A,Chemistry,Periodic Table,2016
The oxidation state of sulfur in H₂SO₄ is:,−2,+2,+6,+4,C,Chemistry,Redox Reactions,2016
